,input,output,reaction_type,reactants,reagents,products,any_correct,all_correct,not_common,missed
2328,CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)OCC(Cl)(Cl)Cl,CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)O.OCC(Cl)(Cl)Cl,2,"['CCOC(Cc1ccc(C(C)(C)O)cc1)C(=O)O', 'ClCC(Cl)(Cl)Cl']",[],['CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)OCC(Cl)(Cl)Cl'],0.0,0.0,"['CCOC(Cc1ccc(C(C)(C)O)cc1)C(=O)O', 'ClCC(Cl)(Cl)Cl']","['CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)O', 'OCC(Cl)(Cl)Cl']"
2453,CCOC(=O)C(C)(C)c1cc(Br)c2[nH]c(-c3ccc(OC(F)(F)F)cc3)cc2c1,CCOC(=O)C(C)(C)c1cc(Br)c(N)c(C#Cc2ccc(OC(F)(F)F)cc2)c1,4,"['O=C(CBr)c1ccc(OC(F)(F)F)cc1', 'CCOC(=O)C(C)(C)c1ccc(N)c(Br)c1']",[],['CCOC(=O)C(C)(C)c1cc(Br)c2[nH]c(-c3ccc(OC(F)(F)F)cc3)cc2c1'],0.0,0.0,"['O=C(CBr)c1ccc(OC(F)(F)F)cc1', 'CCOC(=O)C(C)(C)c1ccc(N)c(Br)c1']",['CCOC(=O)C(C)(C)c1cc(Br)c(N)c(C#Cc2ccc(OC(F)(F)F)cc2)c1']
2458,Cc1cc(Oc2ccccc2NC(=O)Nc2ccc(C3CC3)cc2)n(-c2ccccc2Cl)n1,Cc1cc(Oc2ccccc2N=C=O)n(-c2ccccc2Cl)n1.Nc1ccc(C2CC2)cc1,2,"['O=C=Nc1ccc(C2CC2)cc1', 'Cc1cc(Oc2ccccc2[N+](=O)[O-])n(-c2ccccc2Cl)n1']",[],['Cc1cc(Oc2ccccc2NC(=O)Nc2ccc(C3CC3)cc2)n(-c2ccccc2Cl)n1'],0.0,0.0,"['O=C=Nc1ccc(C2CC2)cc1', 'Cc1cc(Oc2ccccc2[N+](=O)[O-])n(-c2ccccc2Cl)n1']","['Cc1cc(Oc2ccccc2N=C=O)n(-c2ccccc2Cl)n1', 'Nc1ccc(C2CC2)cc1']"
2516,CCCN(CCC)C(=O)c1cc(CC#N)cc(C(=O)OCC)c1,CCCN(CCC)C(=O)c1cc(CBr)cc(C(=O)OCC)c1.[C-]#N,9,"['CCCNCCC', 'CCOC(=O)c1cc(CC#N)cc(C(=O)O)c1']",[],['CCCN(CCC)C(=O)c1cc(CC#N)cc(C(=O)OCC)c1'],0.0,0.0,"['CCCNCCC', 'CCOC(=O)c1cc(CC#N)cc(C(=O)O)c1']","['CCCN(CCC)C(=O)c1cc(CBr)cc(C(=O)OCC)c1', '[C-]#N']"
2542,C=CC(O)(c1cc(Cl)c(Cl)c(Cl)c1)C(F)(F)F,C=C[Mg+].O=C(c1cc(Cl)c(Cl)c(Cl)c1)C(F)(F)F,3,"['O=C1CCC(=O)N1Cl', 'C=CC(O)(c1ccc(Cl)c(Cl)c1)C(F)(F)F']",[],['C=CC(O)(c1cc(Cl)c(Cl)c(Cl)c1)C(F)(F)F'],0.0,0.0,"['O=C1CCC(=O)N1Cl', 'C=CC(O)(c1ccc(Cl)c(Cl)c1)C(F)(F)F']","['C=C[Mg+]', 'O=C(c1cc(Cl)c(Cl)c(Cl)c1)C(F)(F)F']"
2609,O=C1CCC(N2Cc3cc(CNC(=O)Nc4cc(Cl)cc(Cl)c4)ccc3C2=O)C(=O)N1,NCc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O.O=C=Nc1cc(Cl)cc(Cl)c1,2,"['O=C(Cl)Nc1cc(Cl)cc(Cl)c1', 'O=Cc1ccc2c(c1)CN(C2=O)C1CCC(=O)NC1=O']",[],['O=C1CCC(N2Cc3cc(CNC(=O)Nc4cc(Cl)cc(Cl)c4)ccc3C2=O)C(=O)N1'],0.0,0.0,"['O=C(Cl)Nc1cc(Cl)cc(Cl)c1', 'O=Cc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O']","['NCc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O', 'O=C=Nc1cc(Cl)cc(Cl)c1']"
2614,CCCC(CC(=O)O)Cc1ccc(F)c(OC)c1,CCCC(CC(=O)OCC)Cc1ccc(F)c(OC)c1,6,['CCCC(CC(=O)OCc1ccccc1)Cc1ccc(F)c(OC)c1'],[],['CCCC(CC(=O)O)Cc1ccc(F)c(OC)c1'],0.0,0.0,['CCCC(CC(=O)OCc1ccccc1)Cc1ccc(F)c(OC)c1'],['CCCC(CC(=O)OCC)Cc1ccc(F)c(OC)c1']
2620,C#CCN(CC=O)C(=O)Nc1ncc(I)s1,C#CCNCC=O.O=C=Nc1ncc(I)s1,2,['C#CCN(CC1OCCO1)C(=O)Nc1ncc(I)s1'],[],['C#CCN(CC=O)C(=O)Nc1ncc(I)s1'],0.0,0.0,['C#CCN(CC1OCCO1)C(=O)Nc1ncc(I)s1'],"['C#CCNCC=O', 'O=C=Nc1ncc(I)s1']"
2650,COC(=O)c1ccc(Nc2ncc(-c3ccc(OC)cc3)cn2)cc1,COC(=O)c1ccc(Nc2ncc(Br)cn2)cc1.COc1ccc(B(O)O)cc1,3,"['COC(=O)c1ccc(N)cc1', 'COc1ccc(-c2cnc(Cl)nc2)cc1']",[],['COC(=O)c1ccc(Nc2ncc(-c3ccc(OC)cc3)cn2)cc1'],0.0,0.0,"['COC(=O)c1ccc(N)cc1', 'COc1ccc(-c2cnc(Cl)nc2)cc1']","['COC(=O)c1ccc(Nc2ncc(Br)cn2)cc1', 'COc1ccc(B(O)O)cc1']"
2688,Cc1ccc2cccc(OCc3c(Cl)ccc([N+](=O)[O-])c3Cl)c2n1,Cc1ccc2cccc(O)c2n1.O=[N+]([O-])c1ccc(Cl)c(CCl)c1Cl,1,"['Cc1ccc2cccc(F)c2n1', 'O=[N+]([O-])c1ccc(Cl)c(CO)c1Cl']",[],['Cc1ccc2cccc(OCc3c(Cl)ccc([N+](=O)[O-])c3Cl)c2n1'],0.0,0.0,"['Cc1ccc2cccc(F)c2n1', 'O=[N+]([O-])c1ccc(Cl)c(CO)c1Cl']","['Cc1ccc2cccc(O)c2n1', 'O=[N+]([O-])c1ccc(Cl)c(CCl)c1Cl']"
2689,CC(C)(O)C#Cc1cccc(Br)n1,C#Cc1cccc(Br)n1.CC(C)=O,3,"['C#CC(C)(C)O', 'Brc1cccc(Br)n1']",[],['CC(C)(O)C#Cc1cccc(Br)n1'],0.0,0.0,"['C#CC(C)(C)O', 'Brc1cccc(Br)n1']","['C#Cc1cccc(Br)n1', 'CC(C)=O']"
2692,COCCOc1ccc(C(=O)Nc2sc(Nc3ccnc(F)c3)nc2C(N)=O)cc1[N+](=O)[O-],COCCOc1ccc(C(=O)O)cc1[N+](=O)[O-].NC(=O)c1nc(Nc2ccnc(F)c2)sc1N,2,"['CN(C)C=O', 'COCCOc1ccc(C(=O)Nc2sc(Nc3ccnc(F)c3)nc2C(=O)O)cc1[N+](=O)[O-]']",[],['COCCOc1ccc(C(=O)Nc2sc(Nc3ccnc(F)c3)nc2C(N)=O)cc1[N+](=O)[O-]'],0.0,0.0,"['CN(C)C=O', 'COCCOc1ccc(C(=O)Nc2sc(Nc3ccnc(F)c3)nc2C(=O)O)cc1[N+](=O)[O-]']","['COCCOc1ccc(C(=O)O)cc1[N+](=O)[O-]', 'NC(=O)c1nc(Nc2ccnc(F)c2)sc1N']"
2732,O=[N+]([O-])c1ccc(OCCn2cccn2)cc1,O=[N+]([O-])c1ccc(F)cc1.OCCn1cccn1,1,"['c1cn[nH]c1', 'O=[N+]([O-])c1ccc(OCCBr)cc1']",[],['O=[N+]([O-])c1ccc(OCCn2cccn2)cc1'],0.0,0.0,"['c1cn[nH]c1', 'O=[N+]([O-])c1ccc(OCCBr)cc1']","['O=[N+]([O-])c1ccc(F)cc1', 'OCCn1cccn1']"
2737,CC[C@H](C)[C@H](N)C(=O)N(C(=O)[C@@H]1CCCN1CC(=O)c1ccc(-c2ccccc2)cc1)C(C)(C)C,CC[C@H](C)[C@H](N)C(=O)NC(C)(C)C.O=C(CN1CCC[C@H]1C(=O)O)c1ccc(-c2ccccc2)cc1,2,"['CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O', 'CC(C)(C)NC(=O)[C@@H]1CCCN1CC(=O)c1ccc(-c2ccccc2)cc1']",[],['CC[C@H](C)[C@H](N)C(=O)N(C(=O)[C@@H]1CCCN1CC(=O)c1ccc(-c2ccccc2)cc1)C(C)(C)C'],0.0,0.0,"['CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O', 'CC(C)(C)NC(=O)[C@@H]1CCCN1CC(=O)c1ccc(-c2ccccc2)cc1']","['CC[C@H](C)[C@H](N)C(=O)NC(C)(C)C', 'O=C(CN1CCC[C@H]1C(=O)O)c1ccc(-c2ccccc2)cc1']"
2751,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)nc1N,NC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)nc1N,9,"['Clc1ccc(Br)cc1', 'N#Cc1cc(B(O)O)c(-c2ccccc2Cl)nc1N']",[],['N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)nc1N'],0.0,0.0,"['Clc1ccc(Br)cc1', 'N#Cc1cc(B(O)O)c(-c2ccccc2Cl)nc1N']",['NC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)nc1N']
2755,COc1cnc(Cn2ccnc2-c2ncccn2)c(OC)n1,COc1cnc(Cn2ccnc2-c2ncccn2)c(Cl)n1.C[O-],1,"['COc1cnc(C=O)c(OC)n1', 'NCc1ncccn1']",[],['COc1cnc(Cn2ccnc2-c2ncccn2)c(OC)n1'],0.0,0.0,"['COc1cnc(C=O)c(OC)n1', 'NCc1ncccn1']","['COc1cnc(Cn2ccnc2-c2ncccn2)c(Cl)n1', 'C[O-]']"
2867,O=C1CCN(c2ccc(-c3c4cccc(C(F)(F)F)c4nn3Cc3c(F)cc(F)cc3F)cc2)CC1,Fc1cc(F)c(Cn2nc3c(C(F)(F)F)cccc3c2-c2ccc(N3CCC4(CC3)OCCO4)cc2)c(F)c1,6,"['O=C1CCNCC1', 'Fc1cc(F)c(Cn2nc3c(C(F)(F)F)cccc3c2-c2ccc(Cl)cc2)c(F)c1']",[],['O=C1CCN(c2ccc(-c3c4cccc(C(F)(F)F)c4nn3Cc3c(F)cc(F)cc3F)cc2)CC1'],0.0,0.0,"['O=C1CCNCC1', 'Fc1cc(F)c(Cn2nc3c(C(F)(F)F)cccc3c2-c2ccc(Cl)cc2)c(F)c1']",['Fc1cc(F)c(Cn2nc3c(C(F)(F)F)cccc3c2-c2ccc(N3CCC4(CC3)OCCO4)cc2)c(F)c1']
2906,Cc1ccccc1NC(=O)c1c(N)cccc1Cl,Cc1ccccc1NC(=O)c1c(Cl)cccc1[N+](=O)[O-],7,"['Cc1ccccc1N', 'Nc1cccc(Cl)c1C(=O)O']",[],['Cc1ccccc1NC(=O)c1c(N)cccc1Cl'],0.0,0.0,"['Cc1ccccc1N', 'Nc1cccc(Cl)c1C(=O)O']",['Cc1ccccc1NC(=O)c1c(Cl)cccc1[N+](=O)[O-]']
2954,O=C(c1cc(Cl)c(O)c(Cl)c1)N1CS(=O)(=O)c2ccccc21,COc1c(Cl)cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc1Cl,6,"['O=C(Cl)c1cc(Cl)c(O)c(Cl)c1', 'N1CS(=O)(=O)c2ccccc21']",[],['O=C(c1cc(Cl)c(O)c(Cl)c1)N1CS(=O)(=O)c2ccccc21'],0.0,0.0,"['O=C(Cl)c1cc(Cl)c(O)c(Cl)c1', 'O=S1(=O)CNc2ccccc21']",['COc1c(Cl)cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc1Cl']
3017,CCCCCc1cccc(CNC(=O)c2ccc(C)nc2N)c1,CCCCCc1cccc(CN)c1.Cc1ccc(C(=O)O)c(N)n1,2,"['C=CCCC', 'Cc1ccc(C(=O)NCc2cccc(Br)c2)c(N)n1']",[],['CCCCCc1cccc(CNC(=O)c2ccc(C)nc2N)c1'],0.0,0.0,"['C=CCCC', 'Cc1ccc(C(=O)NCc2cccc(Br)c2)c(N)n1']","['CCCCCc1cccc(CN)c1', 'Cc1ccc(C(=O)O)c(N)n1']"
3019,CCN1CCN(c2ccc(CN3C(=O)C(CC(C)C)n4c3nc3ccccc3c4=O)cc2)CC1,CC(C)CC1C(=O)N(Cc2ccc(N3CCNCC3)cc2)c2nc3ccccc3c(=O)n21.CCI,1,"['CCN1CCN(c2ccc(C=O)cc2)CC1', 'CC(C)CC1Cn2c(nc3ccccc3c2=O)NC1=O']",[],['CCN1CCN(c2ccc(CN3C(=O)C(CC(C)C)n4c3nc3ccccc3c4=O)cc2)CC1'],0.0,0.0,"['CCN1CCN(c2ccc(C=O)cc2)CC1', 'CC(C)CC1Cn2c(nc3ccccc3c2=O)NC1=O']","['CC(C)CC1C(=O)N(Cc2ccc(N3CCNCC3)cc2)c2nc3ccccc3c(=O)n21', 'CCI']"
3043,COCC1CCCN(c2nc3cc(C(=O)O)ccc3nc2-c2ccc(F)cc2)C1,COCC1CCCN(c2nc3cc(C(=O)OC)ccc3nc2-c2ccc(F)cc2)C1,6,"['COCC1CCCN(c2nc3cc(C#N)ccc3nc2-c2ccc(F)cc2)C1', 'O=C(O)CO']",[],['COCC1CCCN(c2nc3cc(C(=O)O)ccc3nc2-c2ccc(F)cc2)C1'],0.0,0.0,"['COCC1CCCN(c2nc3cc(C#N)ccc3nc2-c2ccc(F)cc2)C1', 'O=C(O)CO']",['COCC1CCCN(c2nc3cc(C(=O)OC)ccc3nc2-c2ccc(F)cc2)C1']
3045,COC[C@H](C)COCc1ccc([C@@]2(O)CCN(C(=O)OC(C)(C)C)C[C@@H]2c2ccc(-c3ccccc3CCN)cc2C)cc1,COC[C@H](C)COCc1ccc([C@@]2(O)CCN(C(=O)OC(C)(C)C)C[C@@H]2c2ccc(-c3ccccc3CCNC(=O)OCc3ccccc3)cc2C)cc1,6,"['COC[C@H](C)COCc1ccc([C@@]2(O)CCN(C(=O)OC(C)(C)C)C[C@@H]2c2ccc(-c3ccccc3)cc2C)cc1', 'BrCc1ccccc1-c1ccc(C2C[C@H](N(C(=O)OC(C)(C)C)CC2)c2cc(COC[C@@H](C)COC)ccc2C)cc1']",[],['COC[C@H](C)COCc1ccc([C@@]2(O)CCN(C(=O)OC(C)(C)C)C[C@@H]2c2ccc(-c3ccccc3CCN)cc2C)cc1'],0.0,0.0,"['COC[C@H](C)COCc1ccc([C@@]2(O)CCN(C(=O)OC(C)(C)C)C[C@@H]2c2ccc(-c3ccccc3)cc2C)cc1', 'COC[C@H](C)COCc1ccc(C)c([C@@H]2CC(c3ccc(-c4ccccc4CBr)cc3)CCN2C(=O)OC(C)(C)C)c1']",['COC[C@H](C)COCc1ccc([C@@]2(O)CCN(C(=O)OC(C)(C)C)C[C@@H]2c2ccc(-c3ccccc3CCNC(=O)OCc3ccccc3)cc2C)cc1']
3050,CC(C)(C)OC(=O)N1CCC(NCc2ccc(Cl)cc2Cl)CC1,CC(C)(C)OC(=O)N1CCC(=O)CC1.NCc1ccc(Cl)cc1Cl,1,"['O=Cc1ccc(Cl)cc1Cl', 'CC(C)(C)OC(=O)N1CCC(N)CC1']",[],['CC(C)(C)OC(=O)N1CCC(NCc2ccc(Cl)cc2Cl)CC1'],0.0,0.0,"['O=Cc1ccc(Cl)cc1Cl', 'CC(C)(C)OC(=O)N1CCC(N)CC1']","['CC(C)(C)OC(=O)N1CCC(=O)CC1', 'NCc1ccc(Cl)cc1Cl']"
3060,COc1cccc(NC(=O)C(C)(C)c2ccc(S(=O)(=O)/C=C/C#N)cc2)c1,CC(C)(C(=O)O)c1ccc(S(=O)(=O)/C=C/C#N)cc1.COc1cccc(N)c1,2,"['N#C/C=C/S(=O)(=O)c1ccccc1', 'COc1cccc(NC(=O)C(C)(C)c2ccc(N)cc2)c1']",[],['COc1cccc(NC(=O)C(C)(C)c2ccc(S(=O)(=O)/C=C/C#N)cc2)c1'],0.0,0.0,"['N#C/C=C/S(=O)(=O)c1ccccc1', 'COc1cccc(NC(=O)C(C)(C)c2ccc(N)cc2)c1']","['CC(C)(C(=O)O)c1ccc(S(=O)(=O)/C=C/C#N)cc1', 'COc1cccc(N)c1']"
3082,O=C1Nc2ccccc2OC1=Cc1ccc[nH]1,O=C1COc2ccccc2N1.O=Cc1ccc[nH]1,3,['O=C1Nc2ccc(O)cc2OC1=Cc1ccc[nH]1'],[],['O=C1Nc2ccccc2OC1=Cc1ccc[nH]1'],0.0,0.0,['O=C1Nc2ccc(O)cc2OC1=Cc1ccc[nH]1'],"['O=C1COc2ccccc2N1', 'O=Cc1ccc[nH]1']"
3139,CS(=O)(=O)c1cccc(-c2nnc(-c3cc(C(=O)O)nn3-c3ccccc3Cl)o2)c1,COC(=O)c1cc(-c2nnc(-c3cccc(S(C)(=O)=O)c3)o2)n(-c2ccccc2Cl)n1,6,['CCOC(=O)c1cc(-c2nnc(-c3cccc(S(C)(=O)=O)c3)o2)n(-c2ccccc2Cl)n1'],[],['CS(=O)(=O)c1cccc(-c2nnc(-c3cc(C(=O)O)nn3-c3ccccc3Cl)o2)c1'],0.0,0.0,['CCOC(=O)c1cc(-c2nnc(-c3cccc(S(C)(=O)=O)c3)o2)n(-c2ccccc2Cl)n1'],['COC(=O)c1cc(-c2nnc(-c3cccc(S(C)(=O)=O)c3)o2)n(-c2ccccc2Cl)n1']
3149,CCc1cnc(Cl)c(-n2ncc(C(=O)O)c2C)c1,CCOC(=O)c1cnn(-c2cc(CC)cnc2Cl)c1C,6,"['Cc1[nH]ncc1C(=O)O', 'CCc1cnc(Cl)c(Br)c1']",[],['CCc1cnc(Cl)c(-n2ncc(C(=O)O)c2C)c1'],0.0,0.0,"['Cc1[nH]ncc1C(=O)O', 'CCc1cnc(Cl)c(Br)c1']",['CCOC(=O)c1cnn(-c2cc(CC)cnc2Cl)c1C']
3206,CCN(c1cncc(C(=O)O)c1C)C1CCOCC1,CCN(c1cncc(C(=O)OC)c1C)C1CCOCC1,6,['CCOC(=O)c1cncc(N(CC)C2CCOCC2)c1C'],[],['CCN(c1cncc(C(=O)O)c1C)C1CCOCC1'],0.0,0.0,['CCOC(=O)c1cncc(N(CC)C2CCOCC2)c1C'],['CCN(c1cncc(C(=O)OC)c1C)C1CCOCC1']
3244,COc1cncnc1N1CCN(CCCc2c[nH]c3ccc(NC(=O)C(F)(F)F)cc23)CC1,COc1cncnc1N1CCN(CCCc2c[nH]c3ccc(N)cc23)CC1.O=C(OC(=O)C(F)(F)F)C(F)(F)F,5,['COc1cncnc1N1CCN(CC=Cc2c[nH]c3ccc(NC(=O)C(F)(F)F)cc23)CC1'],[],['COc1cncnc1N1CCN(CCCc2c[nH]c3ccc(NC(=O)C(F)(F)F)cc23)CC1'],0.0,0.0,['COc1cncnc1N1CCN(CC=Cc2c[nH]c3ccc(NC(=O)C(F)(F)F)cc23)CC1'],"['COc1cncnc1N1CCN(CCCc2c[nH]c3ccc(N)cc23)CC1', 'O=C(OC(=O)C(F)(F)F)C(F)(F)F']"
3245,NCCC[C@H](NC(=O)c1cccn(Cc2ccccc2C(F)(F)F)c1=O)C(=O)O,CC(C)(C)OC(=O)NCCC[C@H](NC(=O)c1cccn(Cc2ccccc2C(F)(F)F)c1=O)C(=O)O,6,"['COC(=O)[C@@H](N)CCCN', 'O=C(O)c1cccn(Cc2ccccc2C(F)(F)F)c1=O']",[],['NCCC[C@H](NC(=O)c1cccn(Cc2ccccc2C(F)(F)F)c1=O)C(=O)O'],0.0,0.0,"['COC(=O)[C@@H](N)CCCN', 'O=C(O)c1cccn(Cc2ccccc2C(F)(F)F)c1=O']",['CC(C)(C)OC(=O)NCCC[C@H](NC(=O)c1cccn(Cc2ccccc2C(F)(F)F)c1=O)C(=O)O']
3281,COC(=O)COc1ccc(OC/C=C(/c2ccc(Cl)cc2)c2ccc(C#CCn3cccn3)cc2)cc1C,C#CCn1cccn1.COC(=O)COc1ccc(OC/C=C(/c2ccc(Cl)cc2)c2ccc(I)cc2)cc1C,3,"['COC(=O)COc1ccc(O)cc1C', 'ClC/C=C(/c1ccc(Cl)cc1)c1ccc(C#CCn2cccn2)cc1']",[],['COC(=O)COc1ccc(OC/C=C(/c2ccc(Cl)cc2)c2ccc(C#CCn3cccn3)cc2)cc1C'],0.0,0.0,"['COC(=O)COc1ccc(O)cc1C', 'ClC/C=C(/c1ccc(Cl)cc1)c1ccc(C#CCn2cccn2)cc1']","['C#CCn1cccn1', 'COC(=O)COc1ccc(OC/C=C(/c2ccc(Cl)cc2)c2ccc(I)cc2)cc1C']"
3316,CNC(=O)C(Cc1ccc2ccccc2c1)N1CCN(C(=O)C(N)Cc2ccc(F)cc2)C(COC)C1,CNC(=O)C(Cc1ccc2ccccc2c1)N1CCN(C(=O)C(Cc2ccc(F)cc2)NC(=O)OC(C)(C)C)C(COC)C1,6,"['CNC(=O)C(N)Cc1ccc2ccccc2c1', 'NC(Cc1ccc(F)cc1)C(=O)N1CC(COC)C(N)C1']",[],['CNC(=O)C(Cc1ccc2ccccc2c1)N1CCN(C(=O)C(N)Cc2ccc(F)cc2)C(COC)C1'],0.0,0.0,"['CNC(=O)C(N)Cc1ccc2ccccc2c1', 'COCC1CN(C(=O)C(N)Cc2ccc(F)cc2)CC1N']",['CNC(=O)C(Cc1ccc2ccccc2c1)N1CCN(C(=O)C(Cc2ccc(F)cc2)NC(=O)OC(C)(C)C)C(COC)C1']
3333,NC(=O)c1ccsc1-c1n[nH]c2c(F)c(-c3ccc(N)c(F)c3)ccc12,CC(C)(C)OC(=O)Nc1ccc(-c2ccc3c(-c4sccc4C(N)=O)n[nH]c3c2F)cc1F,6,"['Nc1ccc(-c2ccc3c(c2)[nH]nc3-c2sccc2C(=O)N)c(F)c1', 'O=C(Cl)c1ccsc1']",[],['NC(=O)c1ccsc1-c1n[nH]c2c(F)c(-c3ccc(N)c(F)c3)ccc12'],0.0,0.0,"['NC(=O)c1ccsc1-c1n[nH]c2cc(-c3ccc(N)cc3F)ccc12', 'O=C(Cl)c1ccsc1']",['CC(C)(C)OC(=O)Nc1ccc(-c2ccc3c(-c4sccc4C(N)=O)n[nH]c3c2F)cc1F']
3392,C[C@H](O)C(=O)N1CCN(c2nc3c(N4CCOCC4)nc(-c4cnc(N)nc4)nc3n2CC(F)(F)F)C[C@H]1C,C[C@@H]1CN(c2nc3c(N4CCOCC4)nc(-c4cnc(N)nc4)nc3n2CC(F)(F)F)CCN1.C[C@H](O)C(=O)O,2,"['CC1(C)OB(c2cnc(N)nc2)OC1(C)C', 'C[C@H](O)C(=O)N1CCN(c2nc3c(N4CCOCC4)nc(Cl)nc3n2CC(F)(F)F)C[C@H]1C']",[],['C[C@H](O)C(=O)N1CCN(c2nc3c(N4CCOCC4)nc(-c4cnc(N)nc4)nc3n2CC(F)(F)F)C[C@H]1C'],0.0,0.0,"['CC1(C)OB(c2cnc(N)nc2)OC1(C)C', 'C[C@H](O)C(=O)N1CCN(c2nc3c(N4CCOCC4)nc(Cl)nc3n2CC(F)(F)F)C[C@H]1C']","['C[C@@H]1CN(c2nc3c(N4CCOCC4)nc(-c4cnc(N)nc4)nc3n2CC(F)(F)F)CCN1', 'C[C@H](O)C(=O)O']"
3399,CCCO[C@H]1CCC[C@H]([NH3+])C(=O)O[C@@H](C)[C@@H]1CCC(C)C,CCCO[C@H]1CCC[C@H](NC(=O)OC(C)(C)C)C(=O)O[C@@H](C)[C@@H]1CCC(C)C.ClCCl,6,[],[],['CCCO[C@H]1CCC[C@H]([NH3+])C(=O)O[C@@H](C)[C@@H]1CCC(C)C'],0.0,0.0,[],"['CCCO[C@H]1CCC[C@H](NC(=O)OC(C)(C)C)C(=O)O[C@@H](C)[C@@H]1CCC(C)C', 'ClCCl']"
3448,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c(C2(C)CC(C(F)(F)F)OC(N)=N2)c1,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@]2(C)C[C@@H](C(F)(F)F)OC(NC(=O)c3ccccc3)=N2)c1,6,"['Cc1cc(Cl)cnc1C#N', 'OC1(C)CC(C(F)(F)F)OC(Nc2ccc(F)cc2)=N1']",[],['Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c(C2(C)CC(C(F)(F)F)OC(N)=N2)c1'],0.0,0.0,"['Cc1cc(Cl)cnc1C#N', 'CC1(O)CC(C(F)(F)F)OC(Nc2ccc(F)cc2)=N1']",['Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@]2(C)C[C@@H](C(F)(F)F)OC(NC(=O)c3ccccc3)=N2)c1']
3460,CNc1nc(C2(C(=O)O)C=CON2)cs1,CCOC(=O)C1(c2csc(NC)n2)C=CON1,6,"['CNc1nc(C=O)cs1', 'C1=CON(C(=O)O)C1']",[],['CNc1nc(C2(C(=O)O)C=CON2)cs1'],0.0,0.0,"['CNc1nc(C=O)cs1', 'O=C(O)N1CC=CO1']",['CCOC(=O)C1(c2csc(NC)n2)C=CON1']
3464,C=CCO[C@H]1CN(c2nc(-c3ncnn3C)c(C(=O)OC)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,C=CCO[C@H]1CNCC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl.COC(=O)c1sc(Cl)nc1-c1ncnn1C,1,"['C=CCOC(=O)N1C[C@H](OCC=C)C[C@H](NC(=O)c2[nH]c(C)c(Cl)c2Cl)C1', 'COC(=O)c1sc(N)nc1-c1ncnn1C']",[],['C=CCO[C@H]1CN(c2nc(-c3ncnn3C)c(C(=O)OC)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl'],0.0,0.0,"['C=CCOC(=O)N1C[C@@H](NC(=O)c2[nH]c(C)c(Cl)c2Cl)C[C@@H](OCC=C)C1', 'COC(=O)c1sc(N)nc1-c1ncnn1C']","['C=CCO[C@H]1CNCC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl', 'COC(=O)c1sc(Cl)nc1-c1ncnn1C']"
3495,CC(=O)NC(CSC(=O)c1ccc(C)cc1)C(=O)O,CC(=O)N[C@@H](CS)C(=O)O.Cc1ccc(C(=O)Cl)cc1,1,['Cc1ccc(C(=O)SCC(N)C(=O)O)cc1'],['CC(=O)Cl'],['CC(=O)NC(CSC(=O)c1ccc(C)cc1)C(=O)O'],0.0,0.0,"['Cc1ccc(C(=O)SCC(N)C(=O)O)cc1', 'CC(=O)Cl']","['CC(=O)N[C@@H](CS)C(=O)O', 'Cc1ccc(C(=O)Cl)cc1']"
3497,COC1Cc2c(C)c(O)c(C)c(C)c2OC12CCC2,CI.Cc1c(C)c2c(c(C)c1O)CC(O)C1(CCC1)O2,1,['COC1=Cc2c(C)c(O)c(C)c(C)c2OC12CCC2'],['C'],['COC1Cc2c(C)c(O)c(C)c(C)c2OC12CCC2'],0.0,0.0,"['COC1=Cc2c(C)c(O)c(C)c(C)c2OC12CCC2', 'C']","['CI', 'Cc1c(C)c2c(c(C)c1O)CC(O)C1(CCC1)O2']"
