mol_no,input,output,reaction_type
5229,CC1(O)CCOc2c(F)cc(F)cc21,C[Mg+].O=C1CCOc2c(F)cc(F)cc21,3
5277,Cc1ccc(Sc2ccc(CN)cc2)cc1Cl,Cc1ccc(Sc2ccc(C#N)cc2)cc1Cl,7
5309,Cc1ncc(Cl)cc1CN,Cc1ncc(Cl)cc1CN1C(=O)c2ccccc2C1=O,6
5314,COc1ccc(C#N)cc1N1CCC2(CC1)OCCO2,C1CC2(CCN1)OCCO2.COc1ccc(C#N)cc1Br,1
5328,Nc1ccc(-c2ccccc2)nn1,Nc1ccc(Cl)nn1.OB(O)c1ccccc1,3
5336,CCN1CCC(OC(=O)[C@](O)(c2ccc(Cl)cc2)[C@@H]2CCC(F)(F)C2)CC1,CC=O.O=C(OC1CCNCC1)[C@](O)(c1ccc(Cl)cc1)[C@@H]1CCC(F)(F)C1,1
5351,Cc1nc(N2CCN(Cc3ccc(OC(F)(F)F)cc3)C2=O)sc1C(=O)NCC1CC1,Cc1nc(N2CCN(Cc3ccc(OC(F)(F)F)cc3)C2=O)sc1C(=O)O.NCC1CC1,2
5359,CCOC(=O)/C=C(\C)c1ccc2c(c1)CCCN2C(C)C,CC(=O)c1ccc2c(c1)CCCN2C(C)C.CCOC(=O)CP(=O)(OCC)OCC,3
5382,O=S(=O)(c1ccc(OC(F)(F)F)cc1)N1Cc2ccc(C(F)(F)F)nc2Nc2ccc(I)cc21,FC(F)(F)c1ccc2c(n1)Nc1ccc(I)cc1NC2.O=S(=O)(Cl)c1ccc(OC(F)(F)F)cc1,2
5395,COc1cccc2c1NC(CNC(C)=O)CO2,CC(=O)OC(C)=O.COc1cccc2c1NC(CN)CO2,2
5411,COC(=O)C(C)Nc1c([N+](=O)[O-])cnn1-c1c(Cl)cc(C(F)(F)F)cc1Cl,COC(=O)C(C)Br.Nc1c([N+](=O)[O-])cnn1-c1c(Cl)cc(C(F)(F)F)cc1Cl,1
5440,O=C(O)Cc1ccc(-c2onc(-c3ccccc3)c2C(=O)NCCOc2ccc(Cl)cc2Cl)c(Cl)c1,COC(=O)Cc1ccc(-c2onc(-c3ccccc3)c2C(=O)NCCOc2ccc(Cl)cc2Cl)c(Cl)c1,6
5441,COc1cc(F)ccc1-c1ccc2c(c1COC(=O)c1cccc(N)c1)C(C)=CC(C)(C)N2,COc1cc(F)ccc1-c1ccc2c(c1CO)C(C)=CC(C)(C)N2.Nc1cccc(C(=O)O)c1,2
5453,CCN(C)CCCOc1ccc(C2(CN3CCOCC3)CCOCC2)cc1,BrCCOCCBr.CCN(C)CCCOc1ccc(C2(CN)CCOCC2)cc1,4
5467,CC(C)(C)OC(=O)NC1CCCN(C(=O)OCc2ccccc2)C1CC(=O)O,CCOC(=O)CC1C(NC(=O)OC(C)(C)C)CCCN1C(=O)OCc1ccccc1,6
5477,CN1CC2(C1)CN(c1nc(N)ncc1Cl)c1cc(O)ccc12,CN1CC2(CNc3cc(O)ccc32)C1.Nc1ncc(Cl)c(Cl)n1,1
5479,CCOC(=O)NCC(CC(=O)O)c1ccc(Cl)c(Cl)c1,CCOC(=O)Cl.NCC(CC(=O)O)c1ccc(Cl)c(Cl)c1,2
5491,COC(=O)CCc1ccc(C#Cc2ccc(C)cc2)cc1,C#Cc1ccc(CCC(=O)OC)cc1.Cc1ccc(I)cc1,3
5594,Cc1c(Cc2ccccc2)nnc(N2CCC(C)(C(=O)O)CC2)c1C,CCOC(=O)C1(C)CCN(c2nnc(Cc3ccccc3)c(C)c2C)CC1,6
5641,COc1ccc(OC)c(CCc2ccc3ncn(C)c(=O)c3c2)c1,CI.COc1ccc(OC)c(CCc2ccc3nc[nH]c(=O)c3c2)c1,1
5651,CSCc1cccc(N2CCN(c3cc4nc5c(cc4cc3F)c(=O)c(C(=O)O)cn5C)CC2)c1,CSCc1cccc(N2CCNCC2)c1.Cn1cc(C(=O)O)c(=O)c2cc3cc(F)c(F)cc3nc21,1
5682,CN1C(=S)CSc2cc(N3CC(C(N)=O)OC3=O)ccc21,COC(=O)[C@H]1CN(c2ccc3c(c2)SCC(=S)N3C)C(=O)O1.N,9
5696,NC(=O)[C@H]1CN(c2cc(F)c(N3C=CS(=O)(=O)CC3)c(F)c2)C(=O)O1,COC(=O)[C@H]1CN(c2cc(F)c(N3C=CS(=O)(=O)CC3)c(F)c2)C(=O)O1.N,9
5711,O=C(c1ccccn1)c1ccc(Br)cc1F,Fc1cc(Br)ccc1[Zn]I.O=C(Cl)c1ccccn1,3
5712,CN(C)c1ccc(C(=O)c2ccc(O)cc2)cc1,COc1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,6
5727,Cc1c(N)cc(C(=O)O)cc1F,Cc1c(F)cc(C(=O)O)cc1[N+](=O)[O-],7
5739,O=C(CCC(=O)c1ccc2c(c1)CCO2)Nc1cc(-c2cccc(CCCO)c2)cc(-c2ccccc2)n1,O=C(CCC(=O)c1ccc2c(c1)CCO2)Nc1cc(Cl)cc(-c2ccccc2)n1.OCCCc1cccc(B(O)O)c1,3
5766,FC(F)(F)c1ccc(-c2cccc3c2ccn3Cc2ccccc2)cc1,Brc1cccc2c1ccn2Cc1ccccc1.OB(O)c1ccc(C(F)(F)F)cc1,3
5790,CC(C)[C@H](NC(=O)[C@H](C)N(C)C(=O)OC(C)(C)C)C(=O)N1c2ncccc2C[C@H]1CN,CC(C)[C@H](NC(=O)[C@H](C)N(C)C(=O)OC(C)(C)C)C(=O)N1c2ncccc2C[C@H]1CN=[N+]=[N-],9
5814,CC(C)(C=O)c1ccc2c(c1)CCNC2=O,COc1ccc(CN2CCc3cc(C(C)(C)C=O)ccc3C2=O)cc1,6
5817,COc1ccccc1Oc1nc(Nc2cc(C)[nH]n2)cc2ccccc12,COc1ccccc1O.Cc1cc(Nc2cc3ccccc3c(Cl)n2)n[nH]1,1
5837,O=C(Nc1cc(O)ccc1CCCl)c1cc2cc([N+](=O)[O-])ccc2[nH]1,Nc1cc(O)ccc1CCCl.O=C(O)c1cc2cc([N+](=O)[O-])ccc2[nH]1,2
5894,CN1CCN(CCCNc2ncc3cc(C(=O)Nc4cc(C(=O)NC(CCN)c5ccccc5)ccc4Cl)c(=O)[nH]c3n2)CC1,CN1CCN(CCCNc2ncc3cc(C(=O)Nc4cc(C(=O)NC(CCNC(=O)OC(C)(C)C)c5ccccc5)ccc4Cl)c(=O)[nH]c3n2)CC1,6
5960,N#Cc1ccccc1Oc1ccc(N(Cc2cccnc2)S(=O)(=O)CC(F)(F)F)cc1,N#Cc1ccccc1Oc1ccc(NCc2cccnc2)cc1.O=S(=O)(Cl)CC(F)(F)F,2
5993,CC(C)Oc1ccc(C#Cc2ccccc2)cc1C(=O)NC(C)(CO)Cc1c[nH]c2ccccc12,COC(=O)C(C)(Cc1c[nH]c2ccccc12)NC(=O)c1cc(C#Cc2ccccc2)ccc1OC(C)C,7
6014,COc1cc(C#N)ccc1Cc1cn(C)c2ccc([N+](=O)[O-])cc12,CI.COc1cc(C#N)ccc1Cc1c[nH]c2ccc([N+](=O)[O-])cc12,1
6021,CCOC(=O)c1cc(C2=C(c3cc(Cl)ccc3OCc3ccccc3)CCC2)ccc1NC(C)=O,CC(=O)Cl.CCOC(=O)c1cc(C2=C(c3cc(Cl)ccc3OCc3ccccc3)CCC2)ccc1N,2
6087,CC(=O)c1ccc(OC2CCOCC2)cc1O,CC(=O)c1ccc(O)cc1O.OC1CCOCC1,1
6094,CCC(=O)Nc1nc2ccc(Oc3cc(N)c(F)cc3Cl)nc2s1,CCC(=O)Nc1nc2ccc(Oc3cc(NC(=O)OC(C)(C)C)c(F)cc3Cl)nc2s1,6
6098,Nc1c[nH]c2ncc(Br)c(F)c12,O=[N+]([O-])c1c[nH]c2ncc(Br)c(F)c12,7
6121,Cc1nc(Cl)ccc1C#CC(C)(C)O,C#Cc1ccc(Cl)nc1C.COC(C)(C)C,3
6126,NC(=O)C12C=CC(C1)C1C(=O)N(Cc3ccccc3)C(=O)C12,CCN(CC)CC.O=C1C2C3C=CC(C(=O)O)(C3)C2C(=O)N1Cc1ccccc1,9
6157,CNC(=O)CCn1c2c(c3cc(C)ccc31)CN(C)CC2,CCOC(=O)CCn1c2c(c3cc(C)ccc31)CN(C)CC2.CN,2
6177,N#Cc1ccc([N+](=O)[O-])c(NC2CC2)c1,N#Cc1ccc([N+](=O)[O-])c(F)c1.NC1CC1,1
6195,CC(C)N1CC2(CCN(c3ccc(OCCCN4CCC[C@H]4C)cc3)CC2)OCC1=O,CC(C)N1CC2(CCN(c3ccc(O)cc3)CC2)OCC1=O.C[C@@H]1CCCN1CCCBr,1
6227,CCOC(=O)c1ccc2nc(-c3ccc(C(F)(F)F)cc3)sc2c1,CCOC(=O)c1ccc2nc(Br)sc2c1.OB(O)c1ccc(C(F)(F)F)cc1,3
6291,Ic1ccnc(NCCCN2CCOCC2)c1,Fc1cc(I)ccn1.NCCCN1CCOCC1,1
6297,c1ccc(OCCN2CCC3(C2)NCCc2c3[nH]c3ccc(-c4nnn[nH]4)cc23)cc1,C[Si](C)(C)N=[N+]=[N-].N#Cc1ccc2[nH]c3c(c2c1)CCNC31CCN(CCOc2ccccc2)C1,4
6301,COC(=O)C(CO)NC(=O)c1ccc(NC(=O)OCc2ccccc2)cc1F,COC(=O)[C@@H](N)CO.O=C(Nc1ccc(C(=O)O)c(F)c1)OCc1ccccc1,2
6310,COc1ccc(C(Nc2nc3c(ncn3[C@@H]3C[C@H](CO)[C@H]3COC(c3ccccc3)(c3ccc(OC)cc3)c3ccc(OC)cc3)c(=O)[nH]2)(c2ccccc2)c2ccc(OC)cc2)cc1,COc1ccc(C(Nc2nc3c(ncn3[C@@H]3C[C@H](COC(C)=O)[C@H]3COC(c3ccccc3)(c3ccc(OC)cc3)c3ccc(OC)cc3)c(=O)[nH]2)(c2ccccc2)c2ccc(OC)cc2)cc1,6
6319,CNC(=Nc1ccccc1CN1CCOCC1)C(C)(C)C,CNC(=O)C(C)(C)C.Nc1ccccc1CN1CCOCC1,1
6333,N#CCc1csc2ccc(F)cc12,Fc1ccc2scc(CBr)c2c1.[C-]#N,9
6383,NC1=NS(=O)(=O)Nc2cccc(OC[C@H]3CCCCN3C(=O)c3ccnnc3)c21,NC1=NS(=O)(=O)Nc2cccc(OC[C@H]3CCCC[NH2+]3)c21.O=C(O)c1ccnnc1,2
6392,CCCC(C)COc1ccc([C@H](CN=[N+]=[N-])NC(=O)[C@@H](C)c2ccccc2)cc1,CCCC(C)COc1ccc([C@@H](N)CN=[N+]=[N-])cc1.C[C@H](C(=O)O)c1ccccc1,2
6419,COC(=O)C1(N(C)C=O)CCN(C(=O)OC(C)(C)C)C1,CI.COC(=O)C1(NC=O)CCN(C(=O)OC(C)(C)C)C1,1
6422,COc1cc(C(O)C(=O)OCc2ccccc2)ccc1O,BrCc1ccccc1.COc1cc(C(O)C(=O)O)ccc1O,1
6459,CC(C)(C)OC(=O)c1ccc(N2CCN(c3ccc(C(=O)Nc4cccc(C(C)(C)C)c4)cn3)CC2)cc1,CC(C)(C)OC(=O)c1ccc(Br)cc1.CC(C)(C)c1cccc(NC(=O)c2ccc(N3CCNCC3)nc2)c1,1
6480,NC(=O)c1cnn(-c2ccc(F)cc2)c1-c1ccncc1,COC(=O)c1cnn(-c2ccc(F)cc2)c1-c1ccncc1.N,9
6482,CC(C(=O)O)c1ccc(C[C@@H]2CCCC[C@@H]2O)cc1,CC(C(=O)O)c1ccc(CC2CCCCC2=O)cc1,7
6489,CCCc1cc2cc(OC)c(F)cc2c(O)c1-c1ccccc1,CCCc1cc2cc(OC)c(F)cc2c(OCOC)c1-c1ccccc1,6
6535,COC(C)Cc1nc2cnc3ccccc3c2n1CC(C)C,CC(C)Cn1c(CC(C)O)nc2cnc3ccccc3c21.CI,1
6562,CCN(Cc1cccc(C)n1)C(=O)CN(c1ccc2cn[nH]c2c1)S(=O)(=O)c1ccc(C(C)(C)C)cc1,CC(C)(C)c1ccc(S(=O)(=O)N(CC(=O)O)c2ccc3cn[nH]c3c2)cc1.CCNCc1cccc(C)n1,2
6568,OCc1ccc(-c2noc(-c3cc(-c4ccccc4)c(C(F)(F)F)s3)n2)cc1,COC(=O)c1ccc(-c2noc(-c3cc(-c4ccccc4)c(C(F)(F)F)s3)n2)cc1,7
6575,COC=CC[C@H]1CC[C@H](c2ccc(C#N)cc2)CC1,COC(C)(C)C.N#Cc1ccc([C@H]2CC[C@H](CC=O)CC2)cc1,3
6584,O=C(O)c1cn(C2CC2)c2cc(N3CCN(CCCOc4ccc5c(c4)B(O)OC5)CC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O.OB1OCc2ccc(OCCCBr)cc21,1
6593,N#CC(c1ccc(Cl)cc1)C1CCNCC1,N#CC(c1ccc(Cl)cc1F)C1CCNCC1,6
6605,CCOC(=O)c1c(C=O)c2cc(-c3ccc(C(C)(C)C)cc3)ccc2n1-c1ccc(OC(C)C)cc1,CC(C)(C)c1ccc(B(O)O)cc1.CCOC(=O)c1c(C=O)c2cc(Br)ccc2n1-c1ccc(OC(C)C)cc1,3
6666,Clc1cccc(Nc2ncnc3[nH]nc(N=Cc4ccccc4-c4nnn[nH]4)c23)c1,Nc1n[nH]c2ncnc(Nc3cccc(Cl)c3)c12.O=Cc1ccccc1-c1nnn[nH]1,1
6669,O=C(NCc1ccn2ccnc2c1)Nc1ccc(Br)cc1,NCc1ccn2ccnc2c1.O=C=Nc1ccc(Br)cc1,2
6682,CNCCCC1Cc2ccccc2N(c2ccccc2)C1=O,CN.O=C1C(CCCCl)Cc2ccccc2N1c1ccccc1,1
6700,Cn1nc(NCC(=O)NC2CN(C3CCC(O)(c4cncs4)CC3)C2)c2cc(C(F)C(F)(F)F)ccc21,Cn1nc(NCC(=O)NC2CNC2)c2cc(C(F)C(F)(F)F)ccc21.O=C1CCC(O)(c2cncs2)CC1,1
6750,O=C(C[C@@H]1C[C@H]2O[C@@H]2CCC(=O)O[C@H](c2ccccc2)CNC1=O)NCc1ccc(Cl)cc1,O=C(C[C@@H]1CC=CCCC(=O)O[C@H](c2ccccc2)CNC1=O)NCc1ccc(Cl)cc1.O=C(OO)c1cccc(Cl)c1,4
6775,Cc1ccc(CN2CC3CCC2C3Nc2ccc3[nH]ncc3c2)cc1OCCO,Cc1ccc(C=O)cc1OCCO.c1cc2[nH]ncc2cc1NC1C2CCC1NC2,1
6810,CCOP(=O)(OCC)c1csc(-c2scc(P(=O)(OCC)OCC)c2P(=O)(OCC)OCC)c1P(=O)(OCC)OCC,CCCC[Sn](CCCC)(CCCC)c1scc(P(=O)(OCC)OCC)c1P(=O)(OCC)OCC.CCOP(=O)(OCC)c1csc(I)c1P(=O)(OCC)OCC,3
6854,CCCc1c(OCCCOc2c(C(C)=O)cc3c(c2CCC)OC(C)(CCC(=O)OCC)CC3)ccc(C(C)=O)c1O,CCCc1c(O)ccc(C(C)=O)c1O.CCCc1c2c(cc(C(C)=O)c1OCCCBr)CCC(C)(CCC(=O)OCC)O2,1
6860,Cc1ccc2nc(N3CCS(=O)(=O)c4ccc(N5CCOCC5)cc4C3)cc(NCC3(N(Cc4ccccc4)Cc4ccccc4)COC3)c2c1,C1COCCN1.Cc1ccc2nc(N3CCS(=O)(=O)c4ccc(F)cc4C3)cc(NCC3(N(Cc4ccccc4)Cc4ccccc4)COC3)c2c1,1
6877,CC(=O)Nc1ccccc1-c1ccc(F)cc1,CC(=O)OC(C)=O.Nc1ccccc1-c1ccc(F)cc1,2
6879,CCOC(=O)C(Cc1ccc(Br)cc1)c1c(SC(C)(C)C)c2cc(OC)ccc2n1C,CCOC(=O)C(Cc1ccc(Br)cc1)c1[nH]c2ccc(OC)cc2c1SC(C)(C)C.CI,1
6890,CN(C)[C@H]1CCN(c2cccc3nc(CN(C)[C@H]4CCCc5cccnc54)cn23)C1,CN(C)[C@H]1CCNC1.CN(Cc1cn2c(F)cccc2n1)[C@H]1CCCc2cccnc21,1
6906,C[Si](C)(C)C#Cc1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,C#C[Si](C)(C)C.N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1I,3
6908,CCOCC(=O)N(CC)Cc1cc(C(F)(F)F)ccc1-c1cncc(CC(=O)OCC)c1,CCNCc1cc(C(F)(F)F)ccc1-c1cncc(CC(=O)OCC)c1.CCOCC(=O)O,2
6925,CC1Cc2ccc(Br)cc2CN1C(=O)OC(C)(C)C,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CC1Cc2ccc(Br)cc2CN1,5
6964,c1ccc(Nc2nc3c(s2)CNCC3)cc1,C=O.NCCc1csc(Nc2ccccc2)n1,3
7030,CC(C)(C)OC(=O)N1C[C@H](O[Si](C)(C)C(C)(C)C)CC[C@@H]1CCO,C=C[C@H]1CC[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C.OO,10
7034,COc1ccc(-n2nc(C(C)C)cc2-c2ccc(OCCNC(=O)OC(C)(C)C)cc2)cc1,C=C(C)c1cc(-c2ccc(OCCNC(=O)OC(C)(C)C)cc2)n(-c2ccc(OC)cc2)n1,7
7039,CC1CN(Cc2ccccc2)CCC1=O,CCOC(=O)C1(C)CN(Cc2ccccc2)CCC1=O,9
7073,CC[Si](C#Cc1ccc2[nH]ccc2c1)(CC)CC,C#C[Si](CC)(CC)CC.Ic1ccc2[nH]ccc2c1,3
7074,CN(C)C(=O)N1CCCC(N)C1,CN(C)C(=O)N1CCCC(N2C(=O)c3ccccc3C2=O)C1,6
7104,Cc1c(Nc2ccc(I)cc2F)c(NS(=O)(=O)C2CC(O)C2)c2n(c1=O)CCS2,Cc1c(Nc2ccc(I)cc2F)c(NS(=O)(=O)C2CC(OCc3ccccc3)C2)c2n(c1=O)CCS2,6
7122,O=C(c1nc(CC2(c3ccccc3)CCCC2)nc(O)c1OCc1ccccc1)N(CCO)CC1CC1,CC(C)(C)[Si](C)(C)OCCN(CC1CC1)C(=O)c1nc(CC2(c3ccccc3)CCCC2)nc(O)c1OCc1ccccc1,6
7161,Cc1cc(OC2CCS(=O)(=O)N(C)C2)cc(C)c1Br,CI.Cc1cc(OC2CCS(=O)(=O)NC2)cc(C)c1Br,1
7173,COc1cc(F)ccc1-c1cc(Nc2cc(CO)ccn2)ncc1F,COc1cc(F)ccc1-c1cc(Cl)ncc1F.Nc1cc(CO)ccn1,1
7201,COC(=O)CN1[C@@H](C)CC[C@@H]1C,COC(=O)CBr.C[C@H]1CC[C@H](C)N1,1
7231,CCOC(=O)[C@H]1CCCN(c2ccc(-c3ccncc3)cc2F)C1,CCOC(=O)[C@H]1CCCNC1.Fc1cc(-c2ccncc2)ccc1Br,1
7243,COc1cc2c(Nc3ccc4[nH]ccc4c3)ncnc2cc1OCCCn1cncn1,COc1cc2c(Cl)ncnc2cc1OCCCn1cncn1.Nc1ccc2[nH]ccc2c1,1
7273,CCOC(C)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CO[Si](C)(C)C(C)(C)C)[C@@]4(C)CC[C@@H]32)C1(C)C,C=COCC.C[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
7290,CCN(CC)C(=O)CCCC=C(c1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1)c1cccnc1,CCNCC.O=C(O)CCCC=C(c1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1)c1cccnc1,2
7292,CCCCC(CC)COC(=O)CCSc1ccc2c(ccc3nnnn32)c1,Brc1ccc2c(ccc3nnnn32)c1.CCCCC(CC)COC(=O)CCS,1
7315,OC1(c2ccc3ccccc3c2)CC2CCC(C1)N2,OC1(c2ccc3ccccc3c2)CC2CCC(C1)N2Cc1ccccc1,6
7336,CCc1cccc(-c2ccc(N)cc2)c1,CCc1cccc(B(O)O)c1.Nc1ccc(Br)cc1,3
7361,CC(C)c1nn2ccccc2c1C(O)C(C)C,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,7
7372,CCCCSC(Cc1ccc(Cl)cc1Cl)n1ccnc1,CCCCS.Clc1ccc(CC(Cl)n2ccnc2)c(Cl)c1,1
7388,CN1C(=O)C2(CCCc3cnc(C#CC4CC4)cc32)N=C1N,C#CC1CC1.CN1C(=O)C2(CCCc3cnc(Cl)cc32)N=C1N,3
7389,CC(C)(C)c1csc(NN)n1,CC(C)(C)C(=O)CBr.NNC(N)=S,4
7401,Cn1ccc2ncnc(Oc3ccc(C(=O)Nc4ccccc4)cc3)c21,Cn1ccc2ncnc(Oc3ccc(C(=O)O)cc3)c21.Nc1ccccc1,2
7428,CN(Cc1ccccc1)C(=O)c1noc([C@H](CCCC2CCCCC2)CC(=O)OC(C)(C)C)n1,CCOC(=O)c1noc([C@H](CCCC2CCCCC2)CC(=O)OC(C)(C)C)n1.CNCc1ccccc1,2
7439,COc1ccc(Cn2nccc2NC(=O)CSc2nnnn2-c2cccc(C)c2C)cc1,COc1ccc(Cn2nccc2N)cc1.Cc1cccc(-n2nnnc2SCC(=O)O)c1C,2
7440,Cc1cc(CNC2=C(c3ccccc3)S(=O)(=O)N(C(C)(C)C)C2=O)no1,CC(C)(C)N1C(=O)C(Cl)=C(c2ccccc2)S1(=O)=O.Cc1cc(CN)no1,1
7457,CC(C)N(Cc1cc(C(=O)O)cc2c1OC(C)(C)CC2(C)C)C1CC1,CCOC(=O)c1cc(CN(C(C)C)C2CC2)c2c(c1)C(C)(C)CC(C)(C)O2,6
7495,CC(C)(C)OC(=O)N1C(=O)COC[C@@H]1COCc1ccccc1,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=C1COC[C@H](COCc2ccccc2)N1,5
7505,CC(C)(C)OC(=O)N1CCN(c2ccc(-c3cncc(-c4cc(-c5cc(Cl)ccc5F)nc5ncccc45)c3)cn2)CC1,CC(C)(C)OC(=O)N1CCN(c2ccc(B3OC(C)(C)C(C)(C)O3)cn2)CC1.Fc1ccc(Cl)cc1-c1cc(-c2cncc(Br)c2)c2cccnc2n1,3
7550,O=C(C1CCOCC1)N1CC[C@@H](O)C1,O=C(O)C1CCOCC1.O[C@@H]1CCNC1,2
7605,O=C(CCCN1CCN(c2ccc(C(F)(F)F)cc2)CC1)N1CCC(Nc2ccc(Cl)c(C(F)(F)F)c2)CC1,FC(F)(F)c1cc(NC2CCNCC2)ccc1Cl.O=C(O)CCCN1CCN(c2ccc(C(F)(F)F)cc2)CC1,2
7620,O=C(CCCCc1ccccc1)NCc1c[nH]cn1,NCc1c[nH]cn1.O=C(O)CCCCc1ccccc1,2
7665,CC(C)(C)OC(=O)NC(C(=O)c1ccc(OCC2CC2)cc1)c1ccc(Cl)c(Cl)c1,CC(C)(C)OC(=O)NC(C(=O)c1ccc(O)cc1)c1ccc(Cl)c(Cl)c1.OCC1CC1,1
7712,O=C(O)c1cc(Br)cc(-c2cccnc2)c1,COC(=O)c1cc(Br)cc(-c2cccnc2)c1,6
7716,O=Cc1ccc(-c2cc3c(c(C45CC6CC(CC(C6)C4)C5)c2)OCO3)cc1,Brc1cc2c(c(C34CC5CC(CC(C5)C3)C4)c1)OCO2.O=Cc1ccc(B(O)O)cc1,3
7746,CC(C)(C)c1ccc(C(=O)NN)cc1,CC(C)(C)c1ccc(C(=O)O)cc1.NN,2
7755,CCOC(=O)C1=C(Nc2ccccc2)OC(=Cc2c[nH]c3ncc(Cl)cc23)C1=O,CCOC(=O)C1=C(Nc2ccccc2)OCC1=O.O=Cc1c[nH]c2ncc(Cl)cc12,3
7818,COc1ccc(I)c(OCC2CO2)c1,COc1ccc(I)c(O)c1.ClCC1CO1,1
7822,CC(C)(C)OC(=O)N1CC2=C(C1)CN(c1ncc(C(=O)O)s1)C2,CCOC(=O)c1cnc(N2CC3=C(CN(C(=O)OC(C)(C)C)C3)C2)s1,6
7835,Cn1c(CO)cc2cccnc21,CCOC(=O)c1cc2cccnc2n1C,7
7859,Nc1cccnc1N1CCNCC1,O=[N+]([O-])c1cccnc1N1CCNCC1,7
7865,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C#CCCCOC)cc21,COCCCC#Cc1ccc2c(c1)[C@@H](N(C)C(=O)OC(C)(C)C)CC[C@H]2c1ccc(Cl)c(Cl)c1,6
7866,CCN(CC)c1ccc(-c2nc3c(N4CCN(Cc5cn(CC)c(=O)[nH]c5=O)CC4)cccc3[nH]2)cc1,CCN(CC)c1ccc(-c2nc3c(N4CCNCC4)cccc3[nH]2)cc1.CCn1cc(C=O)c(=O)[nH]c1=O,1
7882,CNC(=O)N(C)c1cc(CCl)ccn1,CN=C=O.CNc1cc(CCl)ccn1,2
7884,O=C(O)CN1CCC(n2c(=O)[nH]c3ccccc32)CC1,CCOC(=O)CN1CCC(n2c(=O)[nH]c3ccccc32)CC1,6
7915,CC(=O)N1CCC2(C1)CN(C(=O)Nc1ncc(Cl)s1)c1ccc(CCC(=O)N3CCC3)cc12,C1CNC1.CC(=O)N1CCC2(C1)CN(C(=O)Nc1ncc(Cl)s1)c1ccc(CCC(=O)O)cc12,2
7962,CC(C)(C)OC(=O)N1CCC(n2ncc3c(Oc4ccccc4C#N)ncnc32)CC1,CC(C)(C)OC(=O)N1CCC(n2ncc3c(Cl)ncnc32)CC1.N#Cc1ccccc1O,1
8011,CCn1ncc2c(Cl)c(C(N)=O)cnc21,CCn1ncc2c(Cl)c(C(=O)NCc3ccccc3)cnc21,9
8035,CS(=O)(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,CS(=O)(=O)c1cc2nccc(Oc3ccc(N)cc3F)c2s1.O=C(Cc1ccccc1)N=C=S,2
8055,CN(Cc1ccncc1)c1nc(Cl)nc(Cl)c1F,CNCc1ccncc1.Fc1c(Cl)nc(Cl)nc1Cl,1
8057,COC(=O)[C@@H](NC(=O)c1ccc(C#C/C=C/CC(O)CO)cc1)C(C)(C)N,COC(=O)[C@@H](NC(=O)c1ccc(C#C/C=C/CC(O)CO)cc1)C(C)(C)NC(=O)OC(C)(C)C,6
8060,OCc1cccc(I)c1F,O=C(O)c1cccc(I)c1F,7
8087,CC(C)(C)OC(=O)N1CCCCC1CN,CC(C)(C)OC(=O)N1CCCC[C@H]1CNC(=O)C(F)(F)F,6
8094,CCC(O)c1ccccc1Br,CC[Mg+].O=Cc1ccccc1Br,3
8121,CC(O)COC(=O)c1ccccc1C(=O)OOC(C)(C)C,CC(C)(C)OOC(=O)c1ccccc1C(=O)Cl.CC(O)CO,2
8134,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(O)ccc21,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCc3ccccc3)ccc21,6
8144,COc1ccc(C(F)(F)F)cc1NC(=O)c1ccc(C)c(-c2ccc3c(N4CCOCC4)nncc3c2)c1,Brc1ccc2c(N3CCOCC3)nncc2c1.COc1ccc(C(F)(F)F)cc1NC(=O)c1ccc(C)c(I)c1,3
8153,CC(C)(C)CNc1ncnc(Cl)c1N,CC(C)(C)CN.Nc1c(Cl)ncnc1Cl,1
8163,OCc1ccc2ccn(C(c3ccccc3)c3cccc(/C=C/c4ccc5ccccc5n4)c3)c2c1,O=Cc1ccc2ccn(C(c3ccccc3)c3cccc(/C=C/c4ccc5ccccc5n4)c3)c2c1,7
8165,COc1ccccc1NC(=O)[C@@H]1Cc2[nH]cnc2CN1C(C)=O,CC(=O)Cl.COc1ccccc1NC(=O)[C@@H]1Cc2[nH]cnc2CN1,2
